temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,soil_moisture_0_to_7cm,timestamp
32.2,70,0.0,1010.4,2.6,0.386,2017-08-20 00:00:00
30.6,71,0.0,1011.1,1.89,0.386,2017-08-20 01:00:00
29.6,76,0.0,1011.8,2.28,0.386,2017-08-20 02:00:00
28.3,89,0.0,1012.8,2.47,0.386,2017-08-20 03:00:00
28.1,89,0.0,1012.9,2.53,0.386,2017-08-20 04:00:00
27.5,91,0.0,1013.2,2.51,0.386,2017-08-20 05:00:00
26.7,91,0.0,1013.1,2.38,0.386,2017-08-20 06:00:00
26.3,91,0.0,1012.9,2.28,0.386,2017-08-20 07:00:00
26.0,92,0.0,1012.5,2.19,0.386,2017-08-20 08:00:00
25.5,95,0.0,1012.3,1.63,0.386,2017-08-20 09:00:00
23.8,100,0.0,1012.3,1.96,0.386,2017-08-20 10:00:00
24.0,98,0.0,1012.3,1.06,0.386,2017-08-20 11:00:00
24.2,97,0.0,1013.0,0.89,0.386,2017-08-20 12:00:00
25.3,98,0.0,1013.5,0.92,0.386,2017-08-20 13:00:00
27.2,90,0.0,1014.1,0.4,0.385,2017-08-20 14:00:00
30.0,68,0.0,1014.4,0.57,0.384,2017-08-20 15:00:00
31.1,65,0.0,1014.3,0.45,0.383,2017-08-20 16:00:00
32.0,60,0.0,1014.3,0.41,0.381,2017-08-20 17:00:00
32.4,58,0.0,1014.0,0.94,0.378,2017-08-20 18:00:00
32.6,56,0.0,1013.5,1.97,0.376,2017-08-20 19:00:00
33.2,57,0.0,1012.9,3.02,0.374,2017-08-20 20:00:00
32.2,59,0.5,1012.3,3.58,0.377,2017-08-20 21:00:00
31.3,71,0.0,1012.4,2.76,0.374,2017-08-20 22:00:00
32.0,68,0.0,1011.9,2.5,0.373,2017-08-20 23:00:00
31.3,70,0.0,1012.0,2.62,0.372,2017-08-21 00:00:00
30.2,71,0.0,1012.4,2.34,0.372,2017-08-21 01:00:00
29.3,74,0.0,1013.0,2.69,0.372,2017-08-21 02:00:00
27.8,89,0.0,1013.8,2.76,0.372,2017-08-21 03:00:00
